name,description,html_url,watchers_count,stargazers_count,forks_count
keras,Deep Learning for humans,https://github.com/keras-team/keras,45889,45889,17400
pipenv, Python Development Workflow for Humans.,https://github.com/pypa/pipenv,19070,19070,1429
